{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 222222222222222, 'timestamp': 1731809592, 'start_byte': '&', 'body_length': 24, 'latitude': 68.94158935546875, 'longitude': 171.56533813476562, 'speed': 13.332178115844727, 'fuel_level': 71.34220123291016}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000025, 'timestamp': 1731875477, 'start_byte': '&', 'body_length': 24, 'latitude': 34.64677810668945, 'longitude': 29.679487228393555, 'speed': 1.9854384660720825, 'fuel_level': 57.42955017089844}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000014, 'timestamp': 1731875477, 'start_byte': '&', 'body_length': 24, 'latitude': 61.5915412902832, 'longitude': -75.62684631347656, 'speed': 81.48399353027344, 'fuel_level': 55.527557373046875}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000018, 'timestamp': 1731875477, 'start_byte': '&', 'body_length': 24, 'latitude': 78.93579864501953, 'longitude': -135.95823669433594, 'speed': 84.51840209960938, 'fuel_level': 31.36537742614746}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000007, 'timestamp': 1731875477, 'start_byte': '&', 'body_length': 24, 'latitude': 86.69808959960938, 'longitude': -141.43582153320312, 'speed': 95.5162582397461, 'fuel_level': 57.09988021850586}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000012, 'timestamp': 1731875477, 'start_byte': '&', 'body_length': 24, 'latitude': 44.610652923583984, 'longitude': 78.28480529785156, 'speed': 98.8815689086914, 'fuel_level': 42.58285140991211}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000020, 'timestamp': 1731875477, 'start_byte': '&', 'body_length': 24, 'latitude': 81.64640045166016, 'longitude': 7.122926712036133, 'speed': 59.28657913208008, 'fuel_level': 43.157569885253906}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000023, 'timestamp': 1731875477, 'start_byte': '&', 'body_length': 24, 'latitude': 65.75059509277344, 'longitude': -110.14095306396484, 'speed': 17.475467681884766, 'fuel_level': 70.8084716796875}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000004, 'timestamp': 1731875477, 'start_byte': '&', 'body_length': 24, 'latitude': 54.39727783203125, 'longitude': 41.90697479248047, 'speed': 84.4502182006836, 'fuel_level': 80.93791961669922}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000009, 'timestamp': 1731875477, 'start_byte': '&', 'body_length': 24, 'latitude': 46.61293029785156, 'longitude': 136.1683807373047, 'speed': 15.13536548614502, 'fuel_level': 1.211015224456787}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000008, 'timestamp': 1731875477, 'start_byte': '&', 'body_length': 24, 'latitude': 51.6985969543457, 'longitude': 151.95790100097656, 'speed': 15.499085426330566, 'fuel_level': 5.129498481750488}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000013, 'timestamp': 1731875478, 'start_byte': '&', 'body_length': 24, 'latitude': 43.41371154785156, 'longitude': 99.93517303466797, 'speed': 57.99839782714844, 'fuel_level': 25.94529151916504}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000015, 'timestamp': 1731875478, 'start_byte': '&', 'body_length': 24, 'latitude': 85.40097045898438, 'longitude': 103.15533447265625, 'speed': 34.007530212402344, 'fuel_level': 5.12374210357666}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000019, 'timestamp': 1731875478, 'start_byte': '&', 'body_length': 24, 'latitude': 65.58252716064453, 'longitude': 55.42506408691406, 'speed': 12.223236083984375, 'fuel_level': 92.61084747314453}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000017, 'timestamp': 1731875478, 'start_byte': '&', 'body_length': 24, 'latitude': 51.98102569580078, 'longitude': -155.26878356933594, 'speed': 82.2424087524414, 'fuel_level': 78.14680480957031}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000024, 'timestamp': 1731875478, 'start_byte': '&', 'body_length': 24, 'latitude': 56.03339767456055, 'longitude': -112.81077575683594, 'speed': 78.69352722167969, 'fuel_level': 69.2212905883789}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000022, 'timestamp': 1731875478, 'start_byte': '&', 'body_length': 24, 'latitude': 76.09622955322266, 'longitude': 102.53430938720703, 'speed': 13.226211547851562, 'fuel_level': 90.5662612915039}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000026, 'timestamp': 1731875478, 'start_byte': '&', 'body_length': 24, 'latitude': 72.57074737548828, 'longitude': -8.403985023498535, 'speed': 23.24808692932129, 'fuel_level': 72.88327026367188}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000028, 'timestamp': 1731875478, 'start_byte': '&', 'body_length': 24, 'latitude': 48.974849700927734, 'longitude': -145.12069702148438, 'speed': 40.4261589050293, 'fuel_level': 80.18927001953125}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000010, 'timestamp': 1731875478, 'start_byte': '&', 'body_length': 24, 'latitude': 77.30413055419922, 'longitude': -128.06578063964844, 'speed': 56.64459991455078, 'fuel_level': 78.03103637695312}
{'packet_number': 3, 'protocol version': 'v1.0', 'imei': 100000000000029, 'timestamp': 1731875478, 'start_byte': '&', 'body_length': 24, 'latitude': 79.34688568115234, 'longitude': 56.6182861328125, 'speed': 29.49751853942871, 'fuel_level': 74.83387756347656}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000001, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 64.0145034790039, 'longitude': -158.67031860351562, 'speed': 9.854653358459473, 'fuel_level': 47.159873962402344}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000006, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 81.16213989257812, 'longitude': -163.745849609375, 'speed': 56.3660774230957, 'fuel_level': 1.8059388399124146}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000000, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 83.81690979003906, 'longitude': 30.365402221679688, 'speed': 34.98374938964844, 'fuel_level': 19.694398880004883}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000016, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 73.70704650878906, 'longitude': -69.72688293457031, 'speed': 65.51155090332031, 'fuel_level': 62.10607147216797}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000027, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 77.75081634521484, 'longitude': -4.343465328216553, 'speed': 50.543060302734375, 'fuel_level': 79.96717071533203}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000005, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 24.79548454284668, 'longitude': -148.58929443359375, 'speed': 68.14163970947266, 'fuel_level': 64.91048431396484}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000002, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 29.509033203125, 'longitude': 0.10715671628713608, 'speed': 1.6912513971328735, 'fuel_level': 90.19287872314453}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000021, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 27.814682006835938, 'longitude': 151.80123901367188, 'speed': 97.5992431640625, 'fuel_level': 10.464975357055664}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000025, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 34.646785736083984, 'longitude': 29.679489135742188, 'speed': 2.1263725757598877, 'fuel_level': 55.842811584472656}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000023, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 65.75059509277344, 'longitude': -110.14096069335938, 'speed': 17.375030517578125, 'fuel_level': 68.54348754882812}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000004, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 54.39728546142578, 'longitude': 41.90696716308594, 'speed': 84.53983306884766, 'fuel_level': 79.79486083984375}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000003, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 63.12917709350586, 'longitude': -129.03892517089844, 'speed': 9.603144645690918, 'fuel_level': 79.07579803466797}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000011, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 84.07572174072266, 'longitude': -108.15717315673828, 'speed': 91.66456604003906, 'fuel_level': 44.90998077392578}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000012, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 44.61064529418945, 'longitude': 78.28479766845703, 'speed': 98.93700408935547, 'fuel_level': 41.11723327636719}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000009, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 46.61292266845703, 'longitude': 136.1683807373047, 'speed': 15.21716022491455, 'fuel_level': -0.9609897136688232}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000014, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 61.591548919677734, 'longitude': -75.6268539428711, 'speed': 81.84840393066406, 'fuel_level': 54.267738342285156}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000007, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 86.69808959960938, 'longitude': -141.43582153320312, 'speed': 95.40825653076172, 'fuel_level': 56.839969635009766}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000008, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 51.69859313964844, 'longitude': 151.95790100097656, 'speed': 15.667388916015625, 'fuel_level': 4.650423049926758}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000018, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 78.935791015625, 'longitude': -135.95823669433594, 'speed': 84.05095672607422, 'fuel_level': 30.509923934936523}
{'packet_number': 4, 'protocol version': 'v1.0', 'imei': 100000000000020, 'timestamp': 1731875479, 'start_byte': '&', 'body_length': 24, 'latitude': 81.64639282226562, 'longitude': 7.122928142547607, 'speed': 59.510963439941406, 'fuel_level': 43.11402130126953}
